Density,Torque,Force,Induction
0,0,,
5,0.2640484022359687,0.003472461801340744,0.2202258196231871
10,1.043253315485732,0.1674132107828307,0.4851371486260573
15,2.862451208579605,0.2019757617633785,0.6435025512799948
20,5.479556307198242,0.2834573973985666,0.7468970867958493
25,8.24457196231254,0.473627681843049,0.8442575104409861
30,10.98890237536259,0.5674440416427844,0.9324612766055751
35,13.54865459794254,0.5572648313066224,1.007395549424787
40,15.84305262087739,0.5516032445007711,1.064609691630613
45,17.94758494744001,0.5757414934861741,1.10985439965
50,19.93194661084882,0.5902407731042074,1.147131092611712
60,23.62553503479403,0.5917045871170851,1.207372662012973
70,27.09022213292572,0.5937671908341047,1.257223573521475
80,30.25706474812206,0.5752305035383966,1.301298373583681
90,33.02706931925277,0.567878482584628,1.342445146207784
100,35.16520746276597,0.5608242126485528,1.382462218667454
110,36.89826908412194,0.5500822997233288,1.420592111074885
120,38.42444978423111,0.5573282560988399,1.456065074756303
130,39.8266114718077,0.546754784397137,1.488463098322395
140,41.14007391767994,0.5334942580937129,1.517778089068903
150,42.38449840271491,0.5330695195983931,1.544513120047905
